Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-11 00:00:00-05:00,29.38838469687488,29.541569815474958,29.258179039806958,29.273496627807617,15569372,0.0,0.0
2019-12-12 00:00:00-05:00,29.235196367878665,29.579860537231955,29.235196367878665,29.518587112426758,13414469,0.0,0.0
2019-12-13 00:00:00-05:00,29.503276280902302,29.62582315856988,29.158612032637908,29.357749938964844,16678496,0.0,0.0
2019-12-16 00:00:00-05:00,29.641135688688973,30.177278901146533,29.61049743791935,29.978137969970703,24187824,0.0,0.0
2019-12-17 00:00:00-05:00,30.207917475211428,30.207917475211428,29.748365218614794,29.794321060180664,29038016,0.0,0.0
2019-12-18 00:00:00-05:00,29.878578567454124,29.932193210978756,29.59518776011866,29.786666870117188,27339390,0.0,0.0
2019-12-19 00:00:00-05:00,29.870918000334257,29.98580607542328,29.725391668106877,29.847938537597656,22022276,0.0,0.0
2019-12-20 00:00:00-05:00,30.13898769735961,30.284514027534097,29.84793811654192,30.04707908630371,58199772,0.0,0.0
2019-12-23 00:00:00-05:00,30.192603598911933,30.269194624581683,29.970486236985113,30.116012573242188,17454345,0.0,0.0
2019-12-24 00:00:00-05:00,30.12366536675129,30.207915170250995,30.02409489754462,30.093027114868164,5187683,0.0,0.0
2019-12-26 00:00:00-05:00,30.100690988195776,30.307487653911593,30.024096893162362,30.161964416503906,9384078,0.0,0.0
2019-12-27 00:00:00-05:00,30.20026239352577,30.345788729782843,30.062397931413937,30.116012573242188,10117662,0.0,0.0
2019-12-30 00:00:00-05:00,30.10068856098023,30.192597156265737,29.786659571633646,29.801977157592773,11554264,0.0,0.0
2019-12-31 00:00:00-05:00,29.710069287262712,30.024095204741094,29.6487927828695,30.008777618408203,15175703,0.0,0.0
2020-01-02 00:00:00-05:00,30.100687893518504,30.138981857567178,29.77900011832556,29.978137969970703,16514072,0.0,0.0
2020-01-03 00:00:00-05:00,29.656460683425706,30.05473956574928,29.61816363027854,29.817304611206055,14922848,0.0,0.0
2020-01-06 00:00:00-05:00,29.733054919873833,29.870922478367564,29.641146293743127,29.779010772705078,15771951,0.0,0.0
2020-01-07 00:00:00-05:00,29.962822668500458,29.970481461894042,29.625817281997183,29.679431915283203,20108107,0.0,0.0
2020-01-08 00:00:00-05:00,29.68709018659984,30.039413153694333,29.67943139334094,29.916866302490234,16403507,0.0,0.0
2020-01-09 00:00:00-05:00,30.077716472308815,30.077716472308815,29.71007584202408,29.786666870117188,21971895,0.0,0.0
2020-01-10 00:00:00-05:00,29.85559765226198,30.35344700949865,29.847938857778068,30.246217727661133,21557357,0.0,0.0
2020-01-13 00:00:00-05:00,30.345786157333205,30.460674225864327,30.03175712759818,30.1849422454834,15392405,0.0,0.0
2020-01-14 00:00:00-05:00,30.20025825705865,30.69810755455115,30.10069086118494,30.690448760986328,20919160,0.0,0.0
2020-01-15 00:00:00-05:00,30.78235152731812,31.303177054658132,30.767030865094814,31.149991989135742,23925800,0.0,0.0
2020-01-16 00:00:00-05:00,31.2419172253781,31.249576020054022,30.881932318889685,31.104049682617188,16216422,0.0,0.0
2020-01-17 00:00:00-05:00,31.07341021746826,31.25723050292748,30.95852215411487,31.027454376220703,23083970,0.0,0.0
2020-01-21 00:00:00-05:00,30.927888215251027,31.14234678464081,30.78236495711613,30.897253036499023,23115696,0.0,0.0
2020-01-22 00:00:00-05:00,30.88193321214861,30.950865445757213,30.61385999308013,30.782365798950195,18097812,0.0,0.0
2020-01-23 00:00:00-05:00,30.782363485049334,31.272550957891287,30.73640763958758,31.180639266967773,27148510,0.0,0.0
2020-01-24 00:00:00-05:00,31.35679839692461,31.379774775890862,30.36109987683335,30.498964309692383,34143698,0.0,0.0
2020-01-27 00:00:00-05:00,30.18494565507947,30.966185841150004,30.062398778741247,30.75938606262207,31964026,0.0,0.0
2020-01-28 00:00:00-05:00,30.11601197944206,30.246217644372777,29.06669862693943,29.21222496032715,70202408,0.0,0.0
